1024,2046,,,
1025,1339,,,
1026,1849,,,
1027,3988,,,
1028,754,,,
1029,688,,,
1030,644,,,
1031,1743,,,
1032,581,,,
1033,660,,,
1034,704,,,
1035,8021,,,
1036,3111,,,
1037,3859,,,
1038,6777,,,
1039,3834,,,
1040,2177,,,
1041,1681,,,
1042,1205,,,
1043,742,,,
1044,681,,,
1045,5859,,,
1046,2383,,,
1047,3193,,,
1048,1433,,,
1049,2294,,,
1050,2611,,,
1051,1335,,,
1052,2062,,,
1053,2654,,,
1054,4302,,,
1055,4080,,,
1056,13017,,,
1057,4486,,,
1058,617,,,
1059,907,,,
1060,12906,,,
1061,801,,,
1062,20566,,,
1063,533,,,
1064,379,,,
1065,71137,,,
1066,76882,,,
1067,664,,,
1068,2604,,,
1069,1381,,,
1070,1251,,,
1071,1302,,,
1072,57092,,,
1073,5170,,,
1074,735,,,
1075,456,,,
1076,558,,,
1077,5819,,,
1078,908,,,
1079,1462,,,
1080,475,,,
1081,5518,,,
1082,429,,,
1083,398,,,
1084,892,,,
1085,31523,,,
1086,675,,,
1087,307,,,
1088,773,,,
1089,3191,,,
1090,372,,,
1091,2173,,,
1092,696,,,
1093,5238,,,
1094,1053,,,
1095,741,,,
1096,3328,,,
1097,1009,,,
1098,676,,,
1099,1832,,,
1100,781,,,
1101,849,,,
1102,986,,,
1103,1670,,,
1104,7208,,,
1105,1135,,,
1106,2112,,,
1107,1466,,,
1108,826,,,
1109,53008,,,
1110,3184,,,
1111,886,,,
1112,115541,,,
1113,748,,,
1114,837,,,
1115,617,,,
1116,549,,,
1117,925,,,
1118,728,,,
1119,10912,,,
1120,993,,,
1121,937,,,
1122,3651,,,
1123,843,,,
1124,1149,,,
1125,756,,,
1126,654,,,
1127,580,,,
1128,434,,,
1129,2892,,,
1130,1165,,,
1131,1238,,,
1132,1025,,,
1133,890,,,
1134,735,,,
1135,1036,,,
1136,549,,,
1137,595,,,
1138,16215,,,
1139,348,,,
1140,775,,,
1141,504,,,
1142,1052,,,
1143,842,,,
1144,1289,,,
1145,2865,,,
1146,1863,,,
1147,772,,,
1148,1427,,,
